"Step","DQN_None_ZigZag_100 - eval/avg_reward","DQN_None_ZigZag_100 - eval/avg_reward__MIN","DQN_None_ZigZag_100 - eval/avg_reward__MAX","DQN_None_ZigZag_90 - eval/avg_reward","DQN_None_ZigZag_90 - eval/avg_reward__MIN","DQN_None_ZigZag_90 - eval/avg_reward__MAX","DQN_None_ZigZag_80 - eval/avg_reward","DQN_None_ZigZag_80 - eval/avg_reward__MIN","DQN_None_ZigZag_80 - eval/avg_reward__MAX","DQN_None_ZigZag_70 - eval/avg_reward","DQN_None_ZigZag_70 - eval/avg_reward__MIN","DQN_None_ZigZag_70 - eval/avg_reward__MAX","DQN_None_ZigZag_60 - eval/avg_reward","DQN_None_ZigZag_60 - eval/avg_reward__MIN","DQN_None_ZigZag_60 - eval/avg_reward__MAX","DQN_None_ZigZag_50 - eval/avg_reward","DQN_None_ZigZag_50 - eval/avg_reward__MIN","DQN_None_ZigZag_50 - eval/avg_reward__MAX","DQN_None_ZigZag_40 - eval/avg_reward","DQN_None_ZigZag_40 - eval/avg_reward__MIN","DQN_None_ZigZag_40 - eval/avg_reward__MAX","DQN_None_ZigZag_30 - eval/avg_reward","DQN_None_ZigZag_30 - eval/avg_reward__MIN","DQN_None_ZigZag_30 - eval/avg_reward__MAX","DQN_None_ZigZag_20 - eval/avg_reward","DQN_None_ZigZag_20 - eval/avg_reward__MIN","DQN_None_ZigZag_20 - eval/avg_reward__MAX","DQN_None_ZigZag_10 - eval/avg_reward","DQN_None_ZigZag_10 - eval/avg_reward__MIN","DQN_None_ZigZag_10 - eval/avg_reward__MAX"
"39000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"39500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"40000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"40500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"41000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"41500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"42000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"42500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"43000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"43500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
