"Step","DQN_TempoRL_Bridge_100 - eval/avg_reward","DQN_TempoRL_Bridge_100 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_100 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_90 - eval/avg_reward","DQN_TempoRL_Bridge_90 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_90 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_80 - eval/avg_reward","DQN_TempoRL_Bridge_80 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_80 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_70 - eval/avg_reward","DQN_TempoRL_Bridge_70 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_70 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_60 - eval/avg_reward","DQN_TempoRL_Bridge_60 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_60 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_50 - eval/avg_reward","DQN_TempoRL_Bridge_50 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_50 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_40 - eval/avg_reward","DQN_TempoRL_Bridge_40 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_40 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_30 - eval/avg_reward","DQN_TempoRL_Bridge_30 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_30 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_20 - eval/avg_reward","DQN_TempoRL_Bridge_20 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_20 - eval/avg_reward__MAX","DQN_TempoRL_Bridge_10 - eval/avg_reward","DQN_TempoRL_Bridge_10 - eval/avg_reward__MIN","DQN_TempoRL_Bridge_10 - eval/avg_reward__MAX"
"29000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"29500","-13","-13","-13","-13","-13","-13","-14","-14","-14","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"30000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"30500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"31000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"31500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"32000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"32500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"33000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"33500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"34000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"34500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"35000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"35500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"36000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"36500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"37000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"37500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"38000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"38500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"39000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13"
"39500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"40000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"40500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"41000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"41500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"42000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"42500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"43000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"43500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"44000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"44500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"45000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"45500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"46000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"46500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"47000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"47500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"48000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"48500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"49000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"49500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101","-101","-101","-13","-13","-13","-102","-102","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
