"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: DQN - eval/avg_reward","Group: DQN - eval/avg_reward__MIN","Group: DQN - eval/avg_reward__MAX"
"25000","-13","-13","-13","-13","-13","-13","-13.11111111111111","-14","-13","-22.666666666666668","-100","-13","-13","-13","-13","-90.125","-102","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"25500","-13","-13","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57","-101","-13","-23.875","-100","-13","-34.75","-100","-13","-13","-13","-13","-24.125","-102","-13","-13","-13","-13","-13","-13","-13"
"26000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68.125","-102","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-25.428571428571427","-100","-13","-13","-13","-13"
"26500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-22.666666666666668","-100","-13","-13.1","-14","-13","-57","-101","-13","-24","-100","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-25.428571428571427","-100","-13","-13","-13","-13"
"27000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-90","-101","-13","-24","-100","-13","-13","-13","-13","-13","-13","-13","-35.125","-101","-13","-13","-13","-13","-13","-13","-13"
"27500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-79.375","-102","-13","-24","-100","-13","-13","-13","-13","-23.875","-100","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"28000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68","-101","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"28500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-22.666666666666668","-100","-13","-13","-13","-13","-68.375","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"29000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-79.25","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"29500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-23.875","-100","-13","-13","-13","-13","-13","-13","-13","-24.125","-102","-13","-13.571428571428571","-17","-13","-13","-13","-13"
"30000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-90.375","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13"
"30500","-13","-13","-13","-13.222222222222221","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"31000","-13","-13","-13","-13.222222222222221","-15","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"31500","-13","-13","-13","-13.11111111111111","-14","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46","-101","-13","-13","-13","-13","-13","-13","-13","-23.875","-100","-13","-24.125","-102","-13","-13.142857142857142","-14","-13","-13","-13","-13"
"32000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"32500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"33000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"33500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
"34000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.125","-102","-13","-13","-13","-13","-13","-13","-13"
"34500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"35000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-57.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"35500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-25.428571428571427","-100","-13","-13","-13","-13"
"36000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-101.25","-102","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24.125","-102","-13","-13","-13","-13","-13","-13","-13"
"36500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-46.25","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-24.125","-102","-13","-13","-13","-13","-13","-13","-13"
"37000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-79","-101","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35.125","-102","-13","-13","-13","-13","-13","-13","-13"
"37500","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-90.125","-102","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-35","-101","-13","-13","-13","-13","-13","-13","-13"
"38000","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-13","-68.375","-102","-13","-13.125","-14","-13","-13","-13","-13","-23.875","-100","-13","-24","-101","-13","-13","-13","-13","-13","-13","-13"
