"Step","Group: EQL_skip_fix - eval/avg_reward","Group: EQL_skip_fix - eval/avg_reward__MIN","Group: EQL_skip_fix - eval/avg_reward__MAX","Group: DDQN - eval/avg_reward","Group: DDQN - eval/avg_reward__MIN","Group: DDQN - eval/avg_reward__MAX","Group: UTE - eval/avg_reward","Group: UTE - eval/avg_reward__MIN","Group: UTE - eval/avg_reward__MAX","Group: UTE_prev - eval/avg_reward","Group: UTE_prev - eval/avg_reward__MIN","Group: UTE_prev - eval/avg_reward__MAX","Group: UTE_skip - eval/avg_reward","Group: UTE_skip - eval/avg_reward__MIN","Group: UTE_skip - eval/avg_reward__MAX","Group: EQL - eval/avg_reward","Group: EQL - eval/avg_reward__MIN","Group: EQL - eval/avg_reward__MAX","Group: EQL_prev - eval/avg_reward","Group: EQL_prev - eval/avg_reward__MIN","Group: EQL_prev - eval/avg_reward__MAX","Group: EQL_skip - eval/avg_reward","Group: EQL_skip - eval/avg_reward__MIN","Group: EQL_skip - eval/avg_reward__MAX","Group: EQL_fix - eval/avg_reward","Group: EQL_fix - eval/avg_reward__MIN","Group: EQL_fix - eval/avg_reward__MAX","Group: TempoRL - eval/avg_reward","Group: TempoRL - eval/avg_reward__MIN","Group: TempoRL - eval/avg_reward__MAX","Group: TempoRL_prev - eval/avg_reward","Group: TempoRL_prev - eval/avg_reward__MIN","Group: TempoRL_prev - eval/avg_reward__MAX","Group: TempoRL_skip - eval/avg_reward","Group: TempoRL_skip - eval/avg_reward__MIN","Group: TempoRL_skip - eval/avg_reward__MAX"
"26500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-30","-100","-20","-20.1","-21","-20","-36.8","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-33.5","-101","-20","-20","-20","-20"
"27000","-20","-20","-20","-28","-100","-20","-20","-20","-20","-20.125","-21","-20","-20.25","-22","-20","-20.2","-21","-20","-36.1","-101","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-48.5","-109","-20","-20","-20","-20"
"27500","-20","-20","-20","-28","-100","-20","-20","-20","-20","-20","-20","-20","-30","-100","-20","-20","-20","-20","-53.5","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-49.833333333333336","-110","-20","-20","-20","-20"
"28000","-20","-20","-20","-28","-100","-20","-20","-20","-20","-20.375","-22","-20","-20.25","-22","-20","-20.1","-21","-20","-37.5","-110","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-20.166666666666668","-21","-20","-20","-20","-20"
"28500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-21","-20","-37.2","-111","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-35","-109","-20","-20","-20","-20"
"29000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.25","-22","-20","-20.2","-21","-20","-45.3","-111","-20","-20","-20","-20","-28","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20"
"29500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-21","-20","-37.1","-110","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-48.333333333333336","-109","-20","-20","-20","-20"
"30000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-45.2","-110","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-49.666666666666664","-109","-20","-20","-20","-20"
"30500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.1","-21","-20","-28.1","-101","-20","-20","-20","-20","-20","-20","-20","-20.6","-23","-20","-64.66666666666667","-110","-20","-20","-20","-20"
"31000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-28.2","-102","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-48.666666666666664","-111","-20","-20","-20","-20"
"31500","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-37","-109","-20","-20","-20","-20","-20.1","-21","-20","-20","-20","-20","-61.666666666666664","-109","-20","-20","-20","-20"
"32000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-36.2","-101","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-33.5","-101","-20","-20","-20","-20"
"32500","-20","-20","-20","-20","-20","-20","-30","-100","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-45.3","-111","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-34.833333333333336","-109","-20","-20","-20","-20"
"33000","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20.2","-22","-20","-45.6","-111","-20","-20","-20","-20","-20","-20","-20","-20","-20","-20","-33.5","-101","-20","-20","-20","-20"
